sub_category,ratings,no_of_ratings,discount_price_usd,actual_price_usd,discount_rate,agg_rating
0,4.1,2092.0,4.590914568020244,7.20568743222075,36.2876254180602,8577.199999999999
1,4.4,7943.0,132.53404024581275,240.8723942643692,44.97748874437219,34949.200000000004
0,3.8,229.0,2.482226774310158,12.049644535486204,79.4,870.1999999999999
0,3.7,33.0,2.1568863718520306,18.06241715869382,88.05870580386926,122.10000000000001
2,3.6,37.0,0.40968791420653095,0.590432582238824,30.612244897959183,133.20000000000002
0,4.2,4744.0,3.4220990480780817,4.205325942884685,18.62464183381089,19924.8
0,4.4,484.0,5.145198216652609,16.809254127003253,69.39068100358422,2129.6000000000004
0,4.4,1228.0,8.784190866369443,9.615616339317992,8.646616541353392,5403.200000000001
0,4.3,493.0,1.7471984576454995,2.108687793710086,17.142857142857153,2119.9
0,3.9,1578.0,4.446318833594409,18.06241715869382,75.38358905937291,6154.2
1,5.0,1.0,331.0880829015544,421.73755874201714,21.49428571428572,5.0
1,4.3,21591.0,566.3212435233161,843.4630678394988,32.8576122516036,92841.3
2,3.9,26.0,1.0844680081937583,2.108687793710086,48.57142857142858,101.39999999999999
0,4.4,5671.0,1.9038438366068202,1.9279431256777926,1.2499999999999976,24952.4
1,4.1,58.0,325.328352813592,686.7092420773588,52.62502193367258,237.79999999999998
0,3.9,5493.0,9.037233401614653,9.639715628388963,6.249999999999996,21422.7
0,3.8,9.0,2.0363899264971685,4.205325942884685,51.57593123209169,34.199999999999996
0,4.3,3562.0,2.421978551632727,3.602843716110375,32.77591973244148,15316.599999999999
1,4.3,1658.0,367.39366188697437,602.3617303289553,39.00780156031206,7129.4
0,4.1,3397.0,1.7712977467164719,2.95216291119412,40.00000000000001,13927.699999999999
0,4.4,762.0,3.4341486926135683,4.036630919387878,14.925373134328357,3352.8
0,3.7,50.0,4.470418122665381,12.037594890950718,62.86286286286287,185.0
0,4.0,380.0,7.2177370767562365,12.049644535486204,40.099999999999994,1520.0
0,3.7,781.0,3.241354380045789,16.8574527051452,80.77197998570408,2889.7000000000003
2,4.4,1496.0,9.591517050247019,11.989396312808774,20.000000000000004,6582.400000000001
0,4.7,65.0,8.458850463911315,28.18411856850223,69.98717400598547,305.5
0,4.0,1108.0,7.699722858175685,9.627665983853477,20.02503128911139,4432.0
0,4.1,606.0,15.050006024822268,15.36329678274491,2.0392156862745163,2484.6
1,3.9,9.0,602.4701771297747,854.3197975659718,29.479548660084625,35.1
2,3.7,13.0,75.06928545607904,108.43475117484034,30.77008556506279,48.1
0,4.0,1670.0,4.8198578141944814,30.112061694180024,83.99359743897558,6680.0
2,4.1,464.0,16.013977587661167,22.147246656223643,27.693144722524476,1902.3999999999999
1,4.5,90.0,96.38510663935415,204.83190745872997,52.94429084063768,405.0
0,4.3,1714.0,6.603205205446439,7.772020725388602,15.03875968992249,7370.2
0,3.8,316.0,7.579226412820822,12.881070008434753,41.1599625818522,1200.8
0,4.1,9863.0,2.5665742860585614,3.964333052174961,35.25835866261398,40438.299999999996
0,3.8,258.0,7.157488854078805,8.422701530304856,15.02145922746781,980.4
0,4.5,11230.0,6.012772623207616,12.037594890950718,50.05005005005005,50535.0
0,4.2,6191.0,2.4099289070972407,3.012411133871551,20.0,26002.2
0,5.0,1.0,14.15833232919629,56.62127967224967,74.99467971908916,5.0
1,4.1,435.0,277.1297746716472,421.61706229666225,34.26979136896256,1783.4999999999998
0,4.3,23.0,3.9884323412459337,4.807808169658996,17.042606516290732,98.89999999999999
0,4.1,9.0,10.832630437402097,48.18652849740933,77.51937984496125,36.9
0,3.6,1626.0,5.940474755994699,12.037594890950718,50.650650650650654,5853.6
0,3.2,47.0,4.807808169658996,12.037594890950718,60.06006006006006,150.4
0,3.9,24.0,4.205325942884685,12.037594890950718,65.06506506506507,93.6
2,4.2,145.0,8.663694421014581,10.181949632485843,14.911242603550296,609.0
0,3.4,5.0,8.422701530304856,22.8822749728883,63.191153238546605,17.0
0,3.9,152.0,2.6388721532714787,15.050006024822268,82.46597277822258,592.8
0,4.4,3977.0,2.3978792625617547,2.831666465839258,15.319148936170215,17498.800000000003
0,3.8,303.0,6.85624774069165,7.2177370767562365,5.008347245409021,1151.3999999999999
0,3.8,2918.0,13.845041571273649,36.136883961923125,61.68722907635878,11088.4
2,4.6,556.0,31.40137365947705,74.70779612001446,57.96774193548387,2557.6
1,3.8,92.0,96.27665983853477,263.8872153271479,63.51598173515981,349.59999999999997
2,3.8,27.0,13.206410410892879,15.544041450777204,15.03875968992249,102.6
0,4.2,297.0,4.205325942884685,14.447523798047959,70.89241034195162,1247.4
0,4.1,2359.0,1.0242197855163273,1.2049644535486204,15.0,9671.9
1,4.2,13120.0,114.45957344258345,156.63332931678517,26.925148088314486,55104.0
0,4.2,15304.0,2.9160139775876615,3.614893360645861,19.33333333333333,64276.8
0,3.9,361.0,2.5063260633811306,7.2177370767562365,65.27545909849749,1407.8999999999999
0,4.2,141.0,10.230148210627787,14.459573442583444,29.25,592.2
1,3.9,3987.0,126.50921797806966,325.3404024581275,61.114814814814814,15549.3
0,3.7,39.0,49.42764188456441,164.58609471020605,69.96851892525075,144.3
0,4.0,2117.0,1.6628509458970961,2.108687793710086,21.14285714285715,8468.0
0,4.2,471.0,3.602843716110375,7.2177370767562365,50.08347245409015,1978.2
0,3.9,771.0,12.338836004337873,18.06241715869382,31.68779186124082,3006.9
0,4.2,5503.0,6.639354139052898,10.230148210627787,35.100117785630154,23112.600000000002
0,3.7,29.0,4.446318833594409,12.037594890950718,63.06306306306306,107.30000000000001
0,4.2,44.0,7.036992408723943,12.037594890950718,41.54154154154154,184.8
1,4.7,412.0,325.21990601277264,420.53259428846854,22.66475644699141,1936.4
0,4.0,5282.0,4.374020966381492,4.615013857091216,5.221932114882506,21128.0
0,3.8,2832.0,3.120857934690927,4.807808169658996,35.08771929824562,10761.6
0,2.9,343.0,3.602843716110375,7.2177370767562365,50.08347245409015,994.6999999999999
2,3.0,3.0,4.337269550548259,10.808531148331125,59.87179487179488,9.0
0,3.9,243.0,4.205325942884685,7.2177370767562365,41.73622704507513,947.6999999999999
1,4.1,60.0,72.28581756838173,156.5248825159658,53.818321785989234,245.99999999999997
0,4.1,70.0,13.447403301602604,33.61850825400651,59.999999999999986,287.0
2,4.7,950.0,45.909145680202435,76.51524280033739,40.0,4465.0
0,4.5,10.0,1.1929148090131343,6.012772623207616,80.16032064128255,45.0
0,3.1,26.0,11.435112664176408,45.77659959031209,75.01974203737825,80.60000000000001
1,4.0,55.0,120.48439571032655,192.78226292324376,37.50234389649353,220.0
1,5.0,1.0,4.807808169658996,12.037594890950718,60.06006006006006,5.0
0,4.0,2063.0,5.892276177852754,8.422701530304856,30.04291845493562,8252.0
0,3.7,425.0,4.542715989878299,10.832630437402097,58.06451612903226,1572.5
0,4.2,1379.0,22.21954452343656,22.291842390649478,0.3243243243243247,5791.8
0,3.5,125.0,3.855886251355585,24.087239426436923,83.991995997999,437.5
0,4.0,2997.0,3.3257018917941923,4.8198578141944814,31.0,11988.0
0,4.1,73.0,2.711170020484396,4.807808169658996,43.60902255639098,299.29999999999995
1,4.4,8.0,1686.9381853235332,4217.255090974816,59.99914283265235,35.2
0,4.0,428.0,3.9161344740330164,6.012772623207616,34.86973947895792,1712.0
2,1.0,1.0,6.192914809013135,6.627304494517412,6.554545454545455,1.0
0,4.2,305.0,3.120857934690927,12.037594890950718,74.07407407407408,1281.0
0,3.7,388.0,2.5183757079166167,15.652488251596578,83.91070053887606,1435.6000000000001
0,4.1,3098.0,3.6871912278587784,4.205325942884685,12.320916905444127,12701.8
0,4.2,7507.0,9.627665983853477,15.447644294493314,37.675507020280804,31529.4
2,3.8,41.0,9.675864561995422,11.386914086034462,15.026455026455023,155.79999999999998
0,4.3,2741.0,1.5785034341486928,3.602843716110375,56.187290969899664,11786.3
0,3.8,45.0,4.193276298349199,14.447523798047959,70.97581317764804,171.0
0,4.2,620.0,26.448969755392216,27.65393420894084,4.3572984749455435,2604.0
2,4.2,205.0,3.199180624171587,3.5546451379684303,10.000000000000007,861.0
0,4.0,1139.0,2.85576575491023,3.976382696710447,28.181818181818187,4556.0
1,4.7,5104.0,589.4978913122063,890.0590432582239,33.76867571006959,23988.8
0,3.9,3913.0,2.7593685986263408,11.10977226171828,75.16268980477223,15260.699999999999
0,4.3,29156.0,5.121098927581636,8.531148331124232,39.97175141242938,125370.79999999999
0,5.0,1.0,5.121098927581636,21.67731051933968,76.3757643135075,5.0
1,4.3,1658.0,843.3546210386794,1445.8368478129896,41.67013917826486,7129.4
2,4.2,135.0,3.1570068682973855,3.253404024581275,2.9629629629629575,567.0
1,3.0,1.0,120.48439571032655,216.88155199421618,44.44691371742874,3.0
0,4.0,836.0,6.85624774069165,12.037594890950718,43.04304304304304,3344.0
0,3.8,404.0,5.410290396433306,31.317026147728644,82.72412466333205,1535.1999999999998
0,4.2,781.0,2.831666465839258,4.313772743704061,34.357541899441344,3280.2000000000003
1,4.2,2809.0,264.97168333534165,626.4610193999277,57.70340450086555,11797.800000000001
0,3.7,1898.0,2.012290637426196,34.28123870345825,94.13005272407733,7022.6
0,4.1,308.0,1.891794192071334,2.711170020484396,30.22222222222223,1262.8
0,4.1,3138.0,11.748403422099049,16.25497047837089,27.724240177909564,12865.8
0,4.3,317.0,1.2290637426195927,1.5062055669357755,18.400000000000002,1363.1
0,4.3,37.0,5.723581154355947,19.26738161224244,70.29393370856785,159.1
0,4.3,1233.0,14.688516688757682,21.568863718520305,31.899441340782126,5301.9
0,4.0,942.0,2.4340281961682133,24.087239426436923,89.89494747373686,3768.0
1,4.4,1277.0,373.52693095553684,542.2340040968792,31.113333333333333,5618.8
1,4.2,45.0,3120.737438245572,4217.3755874201715,26.00285714285715,189.0
0,3.5,23.0,3.5546451379684303,5.7356307988914335,38.02521008403362,80.5
0,4.3,1494.0,3.000361489336065,3.108808290155441,3.48837209302326,6424.2
0,3.8,165.0,3.590794071574889,7.2177370767562365,50.25041736227045,627.0
0,4.6,1104.0,156.58513073864322,168.63477527412942,7.145409074669527,5078.4
0,4.3,5.0,3.5546451379684303,12.037594890950718,70.47047047047047,21.5
1,4.4,216.0,493.7944330642246,662.6099530063864,25.477359519912717,950.4000000000001
0,4.4,7367.0,13.242559344499337,17.11049524039041,22.605633802816907,32414.800000000003
0,3.9,219.0,2.34968068441981,19.26738161224244,87.8048780487805,854.1
0,4.1,1981.0,5.024701771297747,6.012772623207616,16.432865731462933,8122.099999999999
1,5.0,3.0,78.31063983612484,108.43475117484034,27.780864540504503,15.0
0,3.7,1055.0,2.0243402819616825,24.087239426436923,91.59579789894948,3903.5
1,4.4,20.0,162.5497047837089,337.26955054825885,51.804215791354046,88.0
0,3.9,754.0,11.206169418002169,13.242559344499337,15.37761601455869,2940.6
1,3.3,8.0,1508.4949993975179,2408.723942643692,37.37368684342171,26.4
0,4.2,1069.0,2.6268225087359927,3.614893360645861,27.333333333333325,4489.8
0,4.2,599.0,2.5063260633811306,12.037594890950718,79.17917917917917,2515.8
0,3.9,12.0,4.807808169658996,12.037594890950718,60.06006006006006,46.8
0,4.5,81.0,4.205325942884685,5.783829377033378,27.291666666666664,364.5
1,4.2,2360.0,212.0737438245572,427.76238100976025,50.42253521126761,9912.0
0,3.4,622.0,4.7355103024460785,6.145318713097964,22.941176470588236,2114.7999999999997
2,1.0,1.0,4.807808169658996,7.2177370767562365,33.3889816360601,1.0
0,4.4,3.0,2.1448367273165445,12.037594890950718,82.18218218218219,13.200000000000001
